eps,iters,sim_clean,sim_adv,drop,cmp_clean,cmp_adv,adv_img
0.01,5,1.000000238418579,0.9936525225639343,0.006347715854644775,,,adv_results\adv_eps0.01_it5.png
0.01,10,1.000000238418579,0.9815616607666016,0.01843857765197754,,,adv_results\adv_eps0.01_it10.png
0.01,20,1.000000238418579,0.9758126735687256,0.024187564849853516,,,adv_results\adv_eps0.01_it20.png
0.03,5,1.000000238418579,0.9714086651802063,0.028591573238372803,,,adv_results\adv_eps0.03_it5.png
0.03,10,1.000000238418579,0.9328184127807617,0.06718182563781738,,,adv_results\adv_eps0.03_it10.png
0.03,20,1.000000238418579,0.9004450440406799,0.09955519437789917,,,adv_results\adv_eps0.03_it20.png
0.06,5,1.000000238418579,0.9444725513458252,0.055527687072753906,,,adv_results\adv_eps0.06_it5.png
0.06,10,1.000000238418579,0.8810032606124878,0.11899697780609131,,,adv_results\adv_eps0.06_it10.png
0.06,20,1.000000238418579,0.8079819083213806,0.1920183300971985,,,adv_results\adv_eps0.06_it20.png
0.1,5,1.000000238418579,0.9190384745597839,0.08096176385879517,,,adv_results\adv_eps0.1_it5.png
0.1,10,1.000000238418579,0.8334978818893433,0.16650235652923584,,,adv_results\adv_eps0.1_it10.png
0.1,20,1.000000238418579,0.7362808585166931,0.263719379901886,,,adv_results\adv_eps0.1_it20.png
0.15,5,1.000000238418579,0.897031307220459,0.10296893119812012,,,adv_results\adv_eps0.15_it5.png
0.15,10,1.000000238418579,0.7929781675338745,0.2070220708847046,,,adv_results\adv_eps0.15_it10.png
0.15,20,1.000000238418579,0.6865548491477966,0.31344538927078247,,,adv_results\adv_eps0.15_it20.png
